  295.67, 1047.00
  295.94, 1047.00
  296.21, 1047.00
  296.48, 1011.00
  296.75, 1173.00
  297.02, 1564.00
  297.28, 1758.00
  297.55, 2066.00
  297.82, 1943.00
  298.09, 1421.00
  298.36, 1607.00
  298.63, 1847.00
  298.89, 1680.00
  299.16, 1565.00
  299.43, 1680.00
  299.70, 1829.00
  299.97, 1607.00
  300.23, 1420.00
  300.50, 1634.00
  300.77, 1982.00
  301.04, 1811.00
  301.31, 1574.00
  301.58, 1596.00
  301.84, 2048.00
  302.11, 2012.00
  302.38, 1633.00
  302.65, 1797.00
  302.92, 2159.00
  303.19, 1915.00
  303.45, 1661.00
  303.72, 1473.00
  303.99, 1678.00
  304.26, 1599.00
  304.53, 1549.00
  304.79, 1810.00
  305.06, 1947.00
  305.33, 1835.00
  305.60, 1705.00
  305.87, 1779.00
  306.13, 1931.00
  306.40, 1749.00
  306.67, 1658.00
  306.94, 1760.00
  307.21, 1811.00
  307.48, 1789.00
  307.74, 1675.00
  308.01, 1585.00
  308.28, 1841.00
  308.55, 1909.00
  308.82, 1742.00
  309.08, 1696.00
  309.35, 2093.00
  309.62, 1759.00
  309.89, 1499.00
  310.16, 1518.00
  310.42, 1632.00
  310.69, 1571.00
  310.96, 1364.00
  311.23, 1504.00
  311.50, 1908.00
  311.76, 1789.00
  312.03, 1589.00
  312.30, 1696.00
  312.57, 1843.00
  312.84, 1633.00
  313.10, 1388.00
  313.37, 1624.00
  313.64, 1906.00
  313.91, 2064.00
  314.18, 1556.00
  314.44, 1687.00
  314.71, 1762.00
  314.98, 1690.00
  315.25, 1529.00
  315.52, 1814.00
  315.78, 1994.00
  316.05, 1722.00
  316.32, 1503.00
  316.59, 1519.00
  316.85, 1840.00
  317.12, 1666.00
  317.39, 1482.00
  317.66, 1493.00
  317.93, 1870.00
  318.19, 1791.00
  318.46, 1521.00
  318.73, 1476.00
  319.00, 1684.00
  319.26, 1718.00
  319.53, 1566.00
  319.80, 1738.00
  320.07, 2010.00
  320.34, 1930.00
  320.60, 1491.00
  320.87, 1570.00
  321.14, 1786.00
  321.41, 1765.00
  321.67, 1631.00
  321.94, 1705.00
  322.21, 1790.00
  322.48, 1830.00
  322.75, 1776.00
  323.01, 1806.00
  323.28, 1894.00
  323.55, 1843.00
  323.82, 1502.00
  324.08, 1736.00
  324.35, 1773.00
  324.62, 1713.00
  324.89, 1520.00
  325.15, 1508.00
  325.42, 1809.00
  325.69, 2004.00
  325.96, 1763.00
  326.23, 1865.00
  326.49, 2177.00
  326.76, 1955.00
  327.03, 1635.00
  327.30, 1871.00
  327.56, 2217.00
  327.83, 1877.00
  328.10, 1575.00
  328.37, 1750.00
  328.63, 1864.00
  328.90, 1781.00
  329.17, 1486.00
  329.44, 1663.00
  329.70, 1895.00
  329.97, 1727.00
  330.24, 1593.00
  330.51, 1684.00
  330.77, 1815.00
  331.04, 1713.00
  331.31, 1433.00
  331.58, 1667.00
  331.84, 1845.00
  332.11, 1947.00
  332.38, 1628.00
  332.65, 1674.00
  332.91, 1822.00
  333.18, 1741.00
  333.45, 1492.00
  333.72, 1641.00
  333.98, 1742.00
  334.25, 1675.00
  334.52, 1555.00
  334.79, 1587.00
  335.05, 1826.00
  335.32, 1717.00
  335.59, 1572.00
  335.86, 1573.00
  336.12, 1835.00
  336.39, 1714.00
  336.66, 1713.00
  336.93, 1795.00
  337.19, 1777.00
  337.46, 1654.00
  337.73, 1594.00
  337.99, 1682.00
  338.26, 1891.00
  338.53, 1869.00
  338.80, 1597.00
  339.06, 1577.00
  339.33, 1829.00
