  295.67, 1005.00
  295.94, 1005.00
  296.21, 1005.00
  296.48, 1011.00
  296.75, 1307.00
  297.02, 1981.00
  297.28, 2230.00
  297.55, 2659.00
  297.82, 2513.00
  298.09, 1752.00
  298.36, 2029.00
  298.63, 2248.00
  298.89, 2017.00
  299.16, 2012.00
  299.43, 2122.00
  299.70, 2238.00
  299.97, 1895.00
  300.23, 1768.00
  300.50, 2071.00
  300.77, 2552.00
  301.04, 2320.00
  301.31, 2012.00
  301.58, 1956.00
  301.84, 2646.00
  302.11, 2666.00
  302.38, 2149.00
  302.65, 2347.00
  302.92, 2844.00
  303.19, 2482.00
  303.45, 2169.00
  303.72, 1744.00
  303.99, 1929.00
  304.26, 1863.00
  304.53, 1989.00
  304.79, 2336.00
  305.06, 2404.00
  305.33, 2307.00
  305.60, 2297.00
  305.87, 2378.00
  306.13, 2451.00
  306.40, 2174.00
  306.67, 2194.00
  306.94, 2340.00
  307.21, 2210.00
  307.48, 2188.00
  307.74, 2214.00
  308.01, 1933.00
  308.28, 2205.00
  308.55, 2484.00
  308.82, 2379.00
  309.08, 2162.00
  309.35, 2683.00
  309.62, 2149.00
  309.89, 1880.00
  310.16, 1853.00
  310.42, 1804.00
  310.69, 1770.00
  310.96, 1633.00
  311.23, 1851.00
  311.50, 2389.00
  311.76, 2191.00
  312.03, 2053.00
  312.30, 2192.00
  312.57, 2276.00
  312.84, 1941.00
  313.10, 1655.00
  313.37, 1955.00
  313.64, 2316.00
  313.91, 2781.00
  314.18, 2028.00
  314.44, 2180.00
  314.71, 2060.00
  314.98, 2020.00
  315.25, 1930.00
  315.52, 2385.00
  315.78, 2527.00
  316.05, 2125.00
  316.32, 1939.00
  316.59, 1874.00
  316.85, 2274.00
  317.12, 2012.00
  317.39, 1866.00
  317.66, 1823.00
  317.93, 2352.00
  318.19, 2236.00
  318.46, 1938.00
  318.73, 1762.00
  319.00, 1977.00
  319.26, 2116.00
  319.53, 1965.00
  319.80, 2217.00
  320.07, 2541.00
  320.34, 2499.00
  320.60, 1863.00
  320.87, 1914.00
  321.14, 2064.00
  321.41, 2133.00
  321.67, 2146.00
  321.94, 2218.00
  322.21, 2112.00
  322.48, 2279.00
  322.75, 2473.00
  323.01, 2518.00
  323.28, 2368.00
  323.55, 2347.00
  323.82, 1899.00
  324.08, 2235.00
  324.35, 2091.00
  324.62, 2075.00
