  295.67,  991.00
  295.94,  991.00
  296.21,  991.00
  296.48, 1017.00
  296.75, 1156.00
  297.02, 1525.00
  297.28, 1699.00
  297.55, 2013.00
  297.82, 1912.00
  298.09, 1411.00
  298.36, 1602.00
  298.63, 1852.00
  298.89, 1667.00
  299.16, 1547.00
  299.43, 1661.00
  299.70, 1819.00
  299.97, 1590.00
  300.23, 1426.00
  300.50, 1620.00
  300.77, 2109.00
  301.04, 2135.00
  301.31, 1576.00
  301.58, 1567.00
  301.84, 2012.00
  302.11, 1970.00
  302.38, 1589.00
  302.65, 1761.00
  302.92, 2120.00
  303.19, 1878.00
  303.45, 1642.00
  303.72, 1450.00
  303.99, 1655.00
  304.26, 1595.00
  304.53, 1530.00
  304.79, 1762.00
  305.06, 1898.00
  305.33, 1802.00
  305.60, 1667.00
  305.87, 1759.00
  306.13, 1891.00
  306.40, 1712.00
  306.67, 1621.00
  306.94, 1756.00
  307.21, 1823.00
  307.48, 1760.00
  307.74, 1654.00
  308.01, 1582.00
  308.28, 1816.00
  308.55, 1888.00
  308.82, 1734.00
  309.08, 1676.00
  309.35, 2053.00
  309.62, 1734.00
  309.89, 1468.00
  310.16, 1501.00
  310.42, 1618.00
  310.69, 1550.00
  310.96, 1350.00
  311.23, 1509.00
  311.50, 1904.00
  311.76, 1779.00
  312.03, 1566.00
  312.30, 1666.00
  312.57, 1827.00
  312.84, 1611.00
  313.10, 1358.00
  313.37, 1569.00
  313.64, 1857.00
  313.91, 2047.00
  314.18, 1560.00
  314.44, 1695.00
  314.71, 1766.00
  314.98, 1684.00
  315.25, 1502.00
  315.52, 1773.00
  315.78, 1956.00
  316.05, 1699.00
  316.32, 1506.00
  316.59, 1528.00
  316.85, 1820.00
  317.12, 1662.00
  317.39, 1476.00
  317.66, 1498.00
  317.93, 1845.00
  318.19, 1766.00
  318.46, 1506.00
  318.73, 1473.00
  319.00, 1676.00
  319.26, 1733.00
  319.53, 1548.00
  319.80, 1693.00
  320.07, 1995.00
  320.34, 1899.00
  320.60, 1463.00
  320.87, 1551.00
  321.14, 1782.00
  321.41, 1745.00
  321.67, 1618.00
  321.94, 1692.00
  322.21, 1776.00
  322.48, 1826.00
  322.75, 1768.00
  323.01, 1774.00
  323.28, 1874.00
  323.55, 1831.00
  323.82, 1482.00
  324.08, 1706.00
  324.35, 1761.00
  324.62, 1712.00
  324.89, 1524.00
  325.15, 1497.00
  325.42, 1796.00
  325.69, 1968.00
  325.96, 1715.00
  326.23, 1831.00
  326.49, 2139.00
  326.76, 1948.00
  327.03, 1608.00
  327.30, 1819.00
