series,index,file,lambda_nm,energy_eV,fwhm_nm,temperature_K,Eg0_eff_eV
cooldown,1,CiaraDavidNiccolo/cooldown/1.csv,771.7581016981433,1.606073194790774,6.669717285881802,28.62962441298057,1.6079776114857254
cooldown,2,CiaraDavidNiccolo/cooldown/2.csv,771.0445107032596,1.6075595932451012,6.123740466049526,12.953376049135432,1.6079776114857254
cooldown,3,CiaraDavidNiccolo/cooldown/3.csv,770.9617078737182,1.607732248360936,5.395385664068613,9.852906845205645,1.6079776114857254
cooldown,4,CiaraDavidNiccolo/cooldown/4.csv,770.8777062351355,1.6079074410564467,6.348054093490305,5.211612425889884,1.6079776114857254
cooldown,5,CiaraDavidNiccolo/cooldown/5.csv,771.5825827012266,1.6064385430534804,4.961742576043548,25.567378671853376,1.6079776114857254
cooldown,6,CiaraDavidNiccolo/cooldown/6.csv,771.3389480134797,1.606945951831203,5.836766775157912,20.710073746290867,1.6079776114857254
cooldown,7,CiaraDavidNiccolo/cooldown/7.csv,771.6587497753419,1.6062799785019788,4.454932932316979,26.931835748935036,1.6079776114857254
cooldown,8,CiaraDavidNiccolo/cooldown/8.csv,771.5207442561727,1.606567301304398,6.059265262522445,24.412924536057446,1.6079776114857254
cooldown,9,CiaraDavidNiccolo/cooldown/9.csv,770.8660198928613,1.6079318169612298,6.41844158292372,4.199999999991348,1.6079776114857254
cooldown,10,CiaraDavidNiccolo/cooldown/10.csv,771.6862129395902,1.6062228133872747,4.622850733725613,27.409849325999694,1.6079776114857254
cooldown,11,CiaraDavidNiccolo/cooldown/11.csv,771.9937925389048,1.6055828582812537,3.817211567777349,32.36088067978382,1.6079776114857254
cooldown,12,CiaraDavidNiccolo/cooldown/12.csv,771.8639859911195,1.605852873687853,3.7584298635732694,30.352137597464477,1.6079776114857254
cooldown,13,CiaraDavidNiccolo/cooldown/13.csv,771.8553007821926,1.605870943354149,3.8968257484192463,30.21388208097217,1.6079776114857254
cooldown,14,CiaraDavidNiccolo/cooldown/14.csv,771.9614123250346,1.6056502050624624,4.12936870657461,31.869414097146255,1.6079776114857254
cooldown,15,CiaraDavidNiccolo/cooldown/15.csv,772.0965794755386,1.6053691117786768,3.9748498839583135,33.88278114837354,1.6079776114857254
cooldown,16,CiaraDavidNiccolo/cooldown/16.csv,772.1963449285105,1.6051617029018082,4.234281695437176,35.30948495580597,1.6079776114857254
cooldown,17,CiaraDavidNiccolo/cooldown/17.csv,771.9121555363171,1.6057526638362203,4.036490709697773,31.109815054916915,1.6079776114857254
cooldown,18,CiaraDavidNiccolo/cooldown/18.csv,771.8815544978462,1.6058163234725396,4.012974508915931,30.63024497946798,1.6079776114857254
cooldown,19,CiaraDavidNiccolo/cooldown/19.csv,772.0100023854884,1.6055491459566342,3.662707245460524,32.60466755394137,1.6079776114857254
cooldown,20,CiaraDavidNiccolo/cooldown/20.csv,771.9354764877783,1.6057041524242273,4.021622162536914,31.471302159360974,1.6079776114857254
cooldown,21,CiaraDavidNiccolo/cooldown/21.csv,772.0107823047387,1.6055475239602646,3.9444660065723838,32.61636011804819,1.6079776114857254
cooldown,22,CiaraDavidNiccolo/cooldown/22.csv,771.9861602561905,1.6055987319625793,3.7234012262777014,32.24558221780906,1.6079776114857254
cooldown,23,CiaraDavidNiccolo/cooldown/23.csv,772.0410988570123,1.6054844772319103,3.802077367967513,33.06828833063781,1.6079776114857254
cooldown,24,CiaraDavidNiccolo/cooldown/24.csv,772.0523937609556,1.6054609894568586,3.785154550166226,33.23539876249838,1.6079776114857254
warmup,7,CiaraDavidNiccolo/warmup/7.csv,772.0017375812622,1.6055663344533964,3.9835666186879735,58.188572424944624,1.6125463653407646
warmup,8,CiaraDavidNiccolo/warmup/8.csv,772.0639510915805,1.6054369566763689,4.305254568876194,58.7930252322945,1.6125463653407646
warmup,9,CiaraDavidNiccolo/warmup/9.csv,771.9453657248553,1.605683582070749,5.008134587067161,57.63707537982303,1.6125463653407646
warmup,10,CiaraDavidNiccolo/warmup/10.csv,772.0509282187245,1.6054640370160214,4.729623806887275,58.66685632029291,1.6125463653407646
warmup,11,CiaraDavidNiccolo/warmup/11.csv,771.8225149186854,1.6059391583446956,5.11767140514246,56.42221354985634,1.6125463653407646
warmup,12,CiaraDavidNiccolo/warmup/12.csv,772.1205930107518,1.6053191835834637,5.056515478451502,59.339617038695394,1.6125463653407646
warmup,13,CiaraDavidNiccolo/warmup/13.csv,772.0410988570123,1.6054844772319103,6.187831307630063,58.57150200257854,1.6125463653407646
warmup,14,CiaraDavidNiccolo/warmup/14.csv,771.6148727486213,1.6063713178372179,5.251209106238093,54.325808857527946,1.6125463653407646
warmup,15,CiaraDavidNiccolo/warmup/15.csv,771.6011019124201,1.6063999868946381,5.0522680741779595,54.18475262016888,1.6125463653407646
warmup,16,CiaraDavidNiccolo/warmup/16.csv,771.759533846014,1.606070214413849,6.722732738610034,55.792228575921484,1.6125463653407646
warmup,17,CiaraDavidNiccolo/warmup/17.csv,771.805894517944,1.6059737413306092,5.423423551113956,56.2564460918408,1.6125463653407646
warmup,18,CiaraDavidNiccolo/warmup/18.csv,771.4590912919452,1.6066956939015873,5.163884187649387,52.714515418057886,1.6125463653407646
warmup,19,CiaraDavidNiccolo/warmup/19.csv,771.5523339621154,1.606501523538728,6.005725551040314,53.683100290769374,1.6125463653407646
warmup,20,CiaraDavidNiccolo/warmup/20.csv,771.2711929244039,1.607087119772007,3.206179955703419,50.72269059451915,1.6125463653407646
warmup,21,CiaraDavidNiccolo/warmup/21.csv,771.6001386617062,1.606401992293363,5.19188513551876,54.17487616451203,1.6125463653407646
warmup,22,CiaraDavidNiccolo/warmup/22.csv,771.6786016826399,1.6062386559602388,5.030838447451515,54.97523670775527,1.6125463653407646
warmup,23,CiaraDavidNiccolo/warmup/23.csv,771.2575731078501,1.6071154996965875,6.255774788831104,50.576120371256096,1.6125463653407646
warmup,24,CiaraDavidNiccolo/warmup/24.csv,768.6818984334058,1.612500570816269,3.689691688483663,4.199999999991348,1.6125463653407646
warmup,25,CiaraDavidNiccolo/warmup/25.csv,770.8972812776104,1.607866612197377,4.367116997914195,46.57850322069201,1.6125463653407646
warmup,26,CiaraDavidNiccolo/warmup/26.csv,772.0054020566105,1.6055587133172788,6.285765979819416,58.224296537837304,1.6125463653407646
warmup,27,CiaraDavidNiccolo/warmup/27.csv,768.9362659723448,1.6119671484509994,2.290208232205714,15.331083591265884,1.6125463653407646
